iter	Passed	Remaining
1560	116512	629886
1561	116597	629864
1562	116666	629761
1563	116736	629660
1564	116788	629465
1565	116860	629372
1566	116933	629291
1567	117008	629217
1568	117078	629120
1569	117153	629045
1570	117230	628987
1571	117302	628894
1572	117379	628835
1573	117450	628738
1574	117505	628563
1575	117585	628517
1576	117641	628339
1577	117706	628217
1578	117782	628148
1579	117856	628072
1580	117930	627995
1581	118016	627978
1582	118093	627917
1583	118161	627809
1584	118238	627745
1585	118317	627695
1586	118391	627618
1587	118448	627446
1588	118517	627344
1589	118591	627267
1590	118648	627101
1591	118718	626999
1592	118797	626951
1593	118864	626833
1594	118936	626749
1595	119017	626707
1596	119089	626619
1597	119166	626556
1598	119227	626411
1599	119321	626439
1600	119417	626475
1601	119491	626399
1602	119560	626295
1603	119638	626239
1604	119744	626325
1605	119832	626324
1606	119929	626365
1607	119995	626246
1608	120061	626124
1609	120173	626243
1610	120283	626352
1611	120373	626362
1612	120433	626209
1613	120533	626265
1614	120636	626340
1615	120744	626435
1616	120811	626319
1617	120873	626179
1618	120995	626351
1619	121067	626260
1620	121162	626294
1621	121236	626213
1622	121298	626073
1623	121368	625974
1624	121443	625902
1625	121510	625785
1626	121573	625648
1627	121646	625569
1628	121716	625466
1629	121811	625498
1630	121888	625432
1631	121977	625433
1632	122067	625434
1633	122186	625589
1634	122266	625539
1635	122372	625624
1636	122465	625644
1637	122545	625594
1638	122633	625586
1639	122697	625456
1640	122772	625384
1641	122848	625313
1642	122915	625199
1643	122986	625105
1644	123063	625041
1645	123146	625011
1646	123220	624929
1647	123287	624813
1648	123359	624728
1649	123429	624630
1650	123505	624560
1651	123580	624483
1652	123649	624381
1653	123723	624300
1654	123827	624373
1655	123924	624413
1656	124039	624540
1657	124141	624600
1658	124228	624584
